Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
GDPGP1	0	0	0	0	4	0	0	0	0	4	1	1
GGN	2	0	0	0	2	0	0	0	0	4	1	1
GIGYF2	0	0	2	0	1	0	0	1	0	4	1	1
GLI3	0	0	0	0	4	0	0	0	0	4	1	1
GPLD1	0	0	0	0	4	0	0	0	0	4	1	1
GPR158	0	0	0	0	4	0	0	0	0	4	1	1
GPRASP1	0	0	0	0	3	1	0	0	0	4	1	1
GTPBP10	0	0	0	0	4	0	0	0	0	4	1	1
HASPIN	0	0	0	0	4	0	0	0	0	4	1	1
HEATR5A	0	0	0	0	3	0	0	1	0	4	1	1
HERC1	0	0	0	0	4	0	0	0	0	4	1	1
HIVEP2	0	0	0	0	3	0	0	1	0	4	1	1
HIVEP3	0	0	0	0	4	0	0	0	0	4	1	1
IFI44L	0	0	0	0	4	0	0	0	0	4	1	1
IQCE	0	0	0	0	4	0	0	0	0	4	1	1
IQCN	1	0	0	0	3	0	0	0	0	4	1	1
ITGA2B	1	0	0	0	3	0	0	0	0	4	1	1
ITGB8	0	0	0	0	4	0	0	0	0	4	1	1
ITPR1	0	0	0	0	3	0	0	1	0	4	1	1
ITSN2	0	0	0	1	3	0	0	0	0	4	1	1
KIAA0753	0	0	0	0	4	0	0	0	0	4	1	1
KIF7	0	0	0	0	3	0	0	1	0	4	1	1
KLHL38	0	0	0	0	4	0	0	0	0	4	1	1
KRBA1	1	0	0	1	2	0	0	0	0	4	1	1
KRT8	1	0	0	0	3	0	0	0	0	4	1	1
LAMC3	0	0	0	0	4	0	0	0	0	4	1	1
LDHAL6A	0	0	0	0	4	0	0	0	0	4	1	1
LGALS8	0	0	0	0	4	0	0	0	0	4	1	1
LMO7	0	0	0	0	3	0	0	1	0	4	1	1
LONRF2	0	0	0	0	4	0	0	0	0	4	1	1
LRP1	0	0	0	0	4	0	0	0	0	4	1	1
MAMDC4	1	0	0	0	3	0	0	0	0	4	1	1
MAN2B2	0	0	0	0	4	0	0	0	0	4	1	1
MATN2	0	0	0	0	4	0	0	0	0	4	1	1
MAVS	0	0	0	0	4	0	0	0	0	4	1	1
MBD5	1	0	0	0	3	0	0	0	0	4	1	1
MCPH1	0	0	0	0	4	0	0	0	0	4	1	1
MSH3	0	0	0	0	2	2	0	0	0	4	1	1
MUC15	2	0	0	0	2	0	0	0	0	4	1	1
MYG1	0	0	0	0	4	0	0	0	0	4	1	1
MYO1C	0	0	0	0	4	0	0	0	0	4	1	1
NBPF9	0	0	0	0	4	0	0	0	0	4	1	1
NCAM2	0	0	0	0	3	1	0	0	0	4	1	1
NES	0	0	0	0	4	0	0	0	0	4	1	1
NIN	0	0	0	0	3	1	0	0	0	4	1	1
NINL	0	0	1	0	3	0	0	0	0	4	1	1
NPIPB5	0	0	0	0	3	1	0	0	0	4	1	1
NTAQ1	0	0	0	0	4	0	0	0	0	4	1	1
NUTM2A	0	1	0	1	2	0	0	0	0	4	1	1
OR7C1	1	0	0	0	3	0	0	0	0	4	1	1
OVGP1	1	0	0	0	3	0	0	0	0	4	1	1
PALM2AKAP2	0	0	0	0	4	0	0	0	0	4	1	1
PCDHGB7	0	0	0	0	4	0	0	0	0	4	1	1
PCLO	0	0	0	0	4	0	0	0	0	4	1	1
PDZD7	0	0	0	0	4	0	0	0	0	4	1	1
PERM1	0	0	0	0	4	0	0	0	0	4	1	1
PGAM4	0	0	0	0	4	0	0	0	0	4	1	1
PGBD1	0	0	0	0	4	0	0	0	0	4	1	1
PIEZO1	0	0	0	0	4	0	0	0	0	4	1	1
PIH1D1	0	0	0	0	4	0	0	0	0	4	1	1
PLEKHG4B	0	0	0	0	4	0	0	0	0	4	1	1
PNN	0	0	0	0	4	0	0	0	0	4	1	1
PRPF38B	0	0	0	0	4	0	0	0	0	4	1	1
PRRC2B	0	0	0	0	4	0	0	0	0	4	1	1
PSPH	0	0	0	0	4	0	0	0	0	4	1	1
PTK2B	1	0	0	0	3	0	0	0	0	4	1	1
PTPRH	0	0	0	0	4	0	0	0	0	4	1	1
PTX4	0	0	0	0	4	0	0	0	0	4	1	1
RBM19	0	0	0	0	4	0	0	0	0	4	1	1
REPIN1	0	0	1	0	3	0	0	0	0	4	1	1
REXO1	0	0	1	0	3	0	0	0	0	4	1	1
RGPD1	0	0	0	0	4	0	0	0	0	4	1	1
RINL	0	0	0	0	3	0	0	1	0	4	1	1
RPRD2	0	0	1	0	2	0	0	1	0	4	1	1
RTTN	0	0	0	1	3	0	0	0	0	4	1	1
SAMD8	0	0	0	0	4	0	0	0	0	4	1	1
SEMA3A	0	0	0	0	4	0	0	0	0	4	1	1
SH3TC1	0	0	0	0	4	0	0	0	0	4	1	1
SHANK3	1	0	0	0	3	0	0	0	0	4	1	1
SHC2	0	0	0	0	4	0	0	0	0	4	1	1
SLC22A1	0	0	0	0	3	0	1	0	0	4	1	1
SLC29A3	0	0	0	0	4	0	0	0	0	4	1	1
SLC35G6	0	0	0	0	3	1	0	0	0	4	1	1
SLFN11	0	0	0	0	4	0	0	0	0	4	1	1
SLIT2	0	0	0	0	4	0	0	0	0	4	1	1
SMG6	0	0	0	0	3	0	0	1	0	4	1	1
SMYD4	0	0	0	0	4	0	0	0	0	4	1	1
SPTBN2	0	0	0	0	4	0	0	0	0	4	1	1
SUPT5H	0	0	0	0	4	0	0	0	0	4	1	1
SYCP2	1	0	0	0	2	1	0	0	0	4	1	1
SYNM	0	0	0	0	3	1	0	0	0	4	1	1
SYNPO2	0	0	0	0	4	0	0	0	0	4	1	1
TAF3	0	0	0	0	4	0	0	0	0	4	1	1
TBC1D2	0	0	0	0	3	1	0	0	0	4	1	1
TECPR2	0	0	0	0	4	0	0	0	0	4	1	1
TET1	0	0	0	0	4	0	0	0	0	4	1	1
TEX14	0	0	0	0	4	0	0	0	0	4	1	1
TICRR	0	0	0	0	4	0	0	0	0	4	1	1
TMC3	0	0	0	0	4	0	0	0	0	4	1	1
TNIK	0	0	0	0	3	1	0	0	0	4	1	1
TSNARE1	0	0	0	0	4	0	0	0	0	4	1	1
